Summary,Issue key,Issue id,Issue Type,Status,Project key,Priority,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Version / Delivery,Component1,Component2,Component3,Component4,Component5,Component6,Due Date,Description,Votes,SignedData
Report to report interface for Analytics Applications,FPA34-6386,8635069,User Story,Open,FPA34,Medium,D032884,D073471,D073471,11/12/2020 17:13,7/19/2022 12:53,9/29/2022 10:01,,,,Analytics Designer,,,,,,,"For Analytics Applications, one of the most common features being used by our end users is the report to report interface. Jumping from one query to another and handing over characteristic members.

right click on # SBM Activities opens option to click on KPI Definition - jump to other application including parameter handover so that I can see the definition of # SBM Activities.

RSBBS also includes the jump target to S/4 transactions like purchase order item etc.

!RB2.png!",1,1
Predictive Planning Next Evolution: Use SAP Data Warehouse Cloud as the Data Management Layer,FPA34-6604,8982400,User Story,Backlog,FPA34,Very High,I051666,I051666,I051666,1/18/2021 8:07,7/18/2022 15:41,9/29/2022 10:01,,,,Smart Predict / Predictive Planning ,,,,,,,"*[[^FPA34-6604 - One Pager.pptx]]*

_the idea for the connection between SAC + DWC + Predictive is the following:_
 # _We want to integrate SAC + DWC_
 # _DWC can integrate with external Sources, especially with the data market place_
 # _The data market place can bring in external data to DWC_
 # _This external data is relevant as external drivers s a foundation for predictive models in planning (stock indices, Weather forecasts, etc.)_
 # _This can be combined with Planning / Forecasting models_",1,1
Improve the UX of the current Bookmark list,FPA34-6963,9845555,User Story,Open,FPA34,Medium,D032884,D032884,D032884,6/1/2021 10:04,7/18/2022 13:38,9/29/2022 10:01,,,,Analytics Designer,,,,,,,"Currently it is possible for application consumer to see all the bookmarks in the bookmark list.

Though it would be nice to add the below options to enable users find their bookmarks more conveniently:
 * recently used bookmarks
 * favorite bookmarks
 * etc...",1,1
Re-use the standard bookmark dialog from story in analytic applications,FPA34-6965,9848262,User Story,Open,FPA34,Medium,D032884,D032884,D032884,6/1/2021 14:51,7/18/2022 13:38,9/29/2022 10:01,,,,Analytics Designer,,,,,,,"Customers want to have the standard story bookmark dialog in analytics designer as well.

So if they don't want to design their own bookmark dialog, they can directly use the standard one.

??- trigger bookmark dialog in the toolbar

- or use script API to trigger the standard bookmark dialog (like the bookmark/application sharing dialog)",1,1
Provide the administration capabilities of bookmarks in SAP Analytics Cloud,FPA34-6964,9845559,User Story,In Progress,FPA34,Medium,D032884,D032884,D032884,6/1/2021 10:12,7/18/2022 13:35,9/29/2022 10:01,,,,Analytics Designer,,,,,,,"We need to give the SAC admin the capabilities to administrations all bookmarks in SAC:
 * find bookmarks for certain users
 * find bookmarks for a certain time period
 * delete bookmarks
 * etc.

It can be the similar concept like we are offering with BI Platform (see attached screenshot).

??",1,1
Comment Widget in Mobile Application,FPA34-6989,9902145,User Story,Open,FPA34,Medium,I538583,I058617,I058617,6/10/2021 17:00,7/15/2022 6:49,9/29/2022 10:01,,,,Mobile ,,,,,,,"The desktop version of SAC provides a comment widget, which can be influenced via filters. This widget doesn't work in the mobile application yet.",1,1
Hide widgets from SAC story if there is no data,FPA34-7149,10483152,User Story,Open,FPA34,High,I866445,I354684,I354684,9/9/2021 10:17,7/14/2022 17:01,9/29/2022 10:01,,2021.16,2021.18,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"* *Issue Description:*

??

Currently the visualization is based on DWC model view. This chart widget is shown, even if there is no data in the DWC model for respective selection with empty widget space (Ref. Image-2). This behavior needs to be controlled based on condition. For example, if the data is available then the widget should populate else it should be hidden in the visualization and other widgets space should get re-adjusted accordingly
 * *+Workflow+*

 * Create a Chart with Measure (i.e., Total Revenue)
 * Add Dimension Company Code and Year.
 * Need to Hide the widgets if the Data is Nil.
 * Currently its populating with Nil values and displaying in the widget.
 * Find attached screenshots and current behavior and to be.

??

*Ref. Attachments/Screenshots:

??
 * *+With Data ?€? Populated chart: (Image-1)+*

?? !image-2021-09-09-15-48-52-962.png!

??
 * *Without Data: (Image-2)*

?? !image-2021-09-09-15-49-03-587.png!

??

??*Why this feature is important*
 * We are working on a Data Plane Front Runner projects and developing CFO Dashboard which will be bundled in the release
 * We have few charts where we need to depict bar charts based on DWC model data.
 * The empty widget is depicted sometimes since the data is not available in DWC for suitable selection. We want to avoid this behavior, if the data is not available it should not show the widget.

??

??",1,1
Freezing a Lane (Header) to be visible always.,FPA34-7059,10130854,User Story,Open,FPA34,Medium,I866445,I050457,I050457,7/15/2021 4:45,7/14/2022 17:01,9/29/2022 10:01,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"Dear Colleagues,

??

Create a Responsive SAC Story

Add 5-6 rows of lanes

The first row lane will be used for the Header of the report.

As there are more lanes, all lanes don?€?t fit in the single screen vertical scroll appears to scroll down

Request is first lane need to be freezed (need to be shown always)

Attached is reference screen shot

??

This enhancement is one of the ask during development of CFO Dashboard which is part of Data Plane Business Content.

??

There was Jira ticket raised on the regard, below is the link for reference

https://sapjira.wdf.sap.corp/browse/FPA14-13847??

??

Thanks and Regards,

-Vinay Sathyanarayan",1,1
On data point filter behavior,FPA34-6284,8517275,User Story,Open,FPA34,Medium,I050576,D073471,D073471,10/22/2020 11:31,7/14/2022 12:55,9/29/2022 10:01,,,,Analytics Designer,"BI (Charts, Explorer, Geo, Input controls, etc.)",BW Integration,Data Analyzer,,,,"When filtering on a data point of one dimension I would expect to see all entries for this entry (marked in red):

!RB19.png!

??

Currently the behavior is that it is only filtered on that one line:

??

!RB20.png!",1,1
ACN Share Package with restrictions to download.,FPA34-7168,10541803,Epic,Open,FPA34,Medium,I050337,I050337,I050337,9/20/2021 10:45,7/14/2022 11:17,9/29/2022 10:01,,,,,,,,,,,"*Current Behavior*

The Packages are shared without user restriction with destination Tenant.

*Enhancement Request.*

Users would like to share packages with download restrictions.

During the sharing of packages, they would like to share with specific users/teams in the destination tenant.",1,1
Change model owner,FPA34-7216,10806097,User Story,Open,FPA34,Medium,,D053636,D053636,10/27/2021 12:48,7/6/2022 16:00,9/29/2022 10:01,,,,Modeling ,,,,,,,"As the creator/owner of a model has special rights, it should be possible to change the ownership of a model to a different user.

??",2,1
BW query mapping to model - need a way to edit without remapping everything,FPA34-6295,8524068,User Story,Backlog,FPA34,High,D035331,D035331,D035331,10/23/2020 14:27,7/6/2022 7:45,9/29/2022 10:01,,,2023.Q1,Data Integration,,,,,,,"From Influence:

??

After creating an acquired data connection to a BW query and saving it, there is no way to edit the mapping without redoing the entire thing.?? We often have requests from users to add one more field to a query or to change something very slightly.?? This becomes a large chore if the mapping already created was complex, and now has to be recreated from scratch.??

??

From Crompton Greaves:

The customer has a big number of large queries with more than 40 dimensions, sometimes even 80 and more. The remapping for all changed queries takes a significant time. According to the customer, they have to do the manual operation every week and spend hours on remapping fields. Retaining relationship by creating a new import query is highly demanded. This function is relevant for project success.

????",3,1
Variance when using Account drill-down (Measure-based model),FPA34-7056,10119285,Backlog Item,Open,FPA34,Medium,,I864593,I864593,7/13/2021 13:53,7/5/2022 16:01,9/29/2022 10:01,,,,,,,,,,,"With the new measure-based SAC model, we are able to drilldown on the account dimension. However, if there is a variance calculation (between 2 versions for example), the variance disappears when we drilldown.",1,1
Enhancements to Watchlist ,FPA34-6657,9083396,User Story,Open,FPA34,High,I066688,I066688,I066688,2/3/2021 6:58,7/4/2022 13:06,9/29/2022 10:01,,,,Analytics Designer,"BI (Charts, Explorer, Geo, Input controls, etc.)",Mobile ,Smart Assist,Smart Predict / Predictive Planning ,,,"1st item to include would be a Hyperlink to the Source Story - Rationale behind that is being able to explore further by opening the story. It would also mean user can add more items from story if required. Also, most of the customers participated in the validation have mentioned this as an ask.

----

This is a placeholder for next phase of watchlist deliverables:
 It would include also items which would get moved out of MVS deliverable..
 As of now the below topics fall here:

Viewing of Watchlist - Right Panel (Bottom Section ?€? Smart Insights ?€? Key Contributors) - Dependent on Smart Insights for BW Live (VH) 
 Save Data points from Analytics Designer Applications (VH) 
 Jumping off to further exploration to open explorer and S2I (VH) 
 Sharing a Watchlist by key users (VH) 
 Watchlist on the iOS device Home Widget for the Mobile phones (H) (iOS 14update) ?€? (Can be a nice showcase)
 Embeddability (H) ?€? Being able to embed the watchlist in other SAP applications such as SuccessFactors & S4HANA (Mobile Cards integration relevant)
 Adding selected charts to Watchlist (H)",1,1
"As a end-user for Predictive Planning, I would like the predicted numbers to be auto-divided to dimensions that are not selected as entities",FPA34-7144,10463103,User Story,Parked,FPA34,Medium,I051695,I051666,I051666,9/6/2021 15:08,7/4/2022 12:15,9/29/2022 10:01,,,,Smart Predict / Predictive Planning ,,,,,,,"+Yan Zhang (consultant for Swaroski Poc)+??

Idea is to perform Smart predict ??only on high level such as store then use planning engine to deallocation ??other dimensions in detail level based on last year distribution(to avoid unassigned assignment for other dimensions). ??Ideally end user only needs to select once and both engine can work together to make forecast more reasonable.

Wish list:
 # If dimension is selected in below window, then unselect dimension will be used as input as deallocation process in planning engine afterwards. The time window will be forecast year and previous year.

+Eli Lilly+

Predictive Planning has 5 dimensions max (in the Entity field). However I need predicted numbers divided for all my dimensions, including the ones not selected in Entity

+Karamba!+

- enfin, last but not least, ?? l'inverse de la fonction de Predictive Forecast pr??sente notamment dans les tableaux qui permet de proposer des chiffres dans le futur ?? tous les niveaux de granularit?? des donn??es le bouton??Apply??ou save forecast du smart predict ??crit les donn??es uniquement sur les membres utilis??s dans les entit??s et sur le # de toutes les autres dimensions. Il faut donc ensuite d??sagr??ger ou r??allouer??les donn??es sur les dimensions non entit??s. C'est faisable mais c'est super lourd. La encore, si cela peut se comprendre d'un point de vue stats, cela n'est pas du tout adapt????dans une logique d'int??gration planning/pr??dictif??",1,1
"As a end-user for Predictive Planning, I would like to be better warned when some entities are too small",FPA34-7145,10463110,User Story,Parked,FPA34,Medium,I051695,I051666,I051666,9/6/2021 15:12,7/4/2022 12:15,9/29/2022 10:01,,,,Smart Predict / Predictive Planning ,,,,,,,"+Yan Zhang (consultant for Swaroski Poc)+??

Also record count can be used as prompt to give hint whether this entity selection made sense since if entity went to detail level like like product class, type, then some entry only have very limited data with big time gap. Then pace will be very big then number of forecasts will end up with very later. Indeed planning forecast only for one year then following prediction will be ignored anyway.",1,1
Predictive Planning: I would like to run predictive planning on live data - without acquiring data in SAC / Planning,FPA34-6499,8850878,User Story,Backlog,FPA34,Medium,I051666,I051666,I051666,12/17/2020 13:19,7/4/2022 12:14,9/29/2022 10:01,,,,Smart Predict / Predictive Planning ,,,,,,,ZF (December 2020),1,1
[Mobile] Support Edge mobile browser ,FPA34-6988,9902108,User Story,Open,FPA34,Medium,I538583,I058617,I058617,6/10/2021 16:07,7/4/2022 8:32,9/29/2022 10:01,,,,Mobile ,,,,,,,"Edge gets deployed with Microsoft Intune MDM (mobile device management) so a lot of customers have (or will have soon) access to it through VPNs.

Customer (L3 Technologies, Inc) has tested this on iOS and would like to have official support by SAP also on Android .?? See influence request for more details.

The limitations they have seen so far...
 * We can't get the radial menu to open in Digital Boardroom (no right-click functionality)
 * Table controls were also moved to the right-click recently, so they don't function.
 * There's a ""this browser is not compatible"" popup that occurs the first time only, saying that you only support Chrome (at the very least, this should be updated)
 * We have to use Web responsive sizing.?? It'd be nice if we could have additional options for running Edge mobile.?? You'd think it could detect the browser version?",1,1
Create version directly in the model,FPA34-7248,10930809,User Story,Backlog,FPA34,Medium,I818705,I050928,I050928,11/12/2021 15:39,7/1/2022 7:26,9/29/2022 10:01,,,,Modeling ,,,,,,,The customer would like to create Version members?? directly in the dimension Version of the modeler instead of using the Version management panel in the story.,2,1
[BW Live] Show description of data sources instead of technical names,FPA34-6617,9006058,User Story,Considered,FPA34,Medium,D052181,I522076,I522076,1/20/2021 20:27,6/30/2022 9:49,9/29/2022 10:01,,,,,,,,,,,"Today the end users in SAC see the technical identifiers of the data sources from S/4HANA: CDS view names or even the AE query names. This is often confusing. Instead the user friendly description of the data sources should be visible. As per the suggestion from UX, the description of the datasource should be available as a tooltip in all the dialogs or panels in SAC. More details can be found here - [https://wiki.wdf.sap.corp/wiki/display/OrcaDev/S4+-+Show+description+instead+of+technical+names#S4Showdescriptioninsteadoftechnicalnames-ChangesrequiredintheSAC]
|*Business Value*|*What problem will this solve?*
 Currently, the technical names of the model are not user friendly and don't make sense to the customers. Showing the description in the tooltip will help users to identify the queries easily.
 *For whom do we solve that problem?* 
 1. It is mainly for the Business Users 
 2. SAC Standalone and Embedded 
 *How are they solving this today?* 
 There is no solution and the description is not available to the end users.
 *How big is the opportunity?* 
 S/4 HANA Customers
 *Customers who expressed this pain point?* 
 PWC
 *Why should we invest in it right now?* 
 Model name is purely technical and is not user friendly.
 *What defines success?* 
 Adoption
 *Categorization* 
 1. Visible on roadmap: yes 
 2. Release highlight candidate: yes 
 3. Needs UX support: yes 
 4. Needs architect support: yes 
 5. Dependencies on other clusters: yes 
 6. Commercialization/Pricing impact: no|
|*Key Capabilities*|Provides more information on the queries to the user.|",1,1
"Filter Usability Improvements Scope 1 (new controls panel, reusing & copying controls across pages)",FPA34-6542,8892547,Epic,In Progress,FPA34,Medium,I866445,I866445,I866445,12/29/2020 16:18,6/30/2022 9:49,9/29/2022 10:01,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"[Epic One Pager|https://sap-my.sharepoint.com/:p:/p/sofiya_muzychko/ETIi4jK6oCRGiC4r9u4C4UsBEY3v4WHI_kabOnObaKdJhQ?e=RLgmfE]

The current method of consuming, understanding, and interacting with the filter context of a story, or specific visualization, requires the user navigation to several different areas of the UI.??

The goal is to ensure that the story creators are able to satisfy the desired filtering scenarios with minimal effort, without over complicating the viewer's experience.??

*Defined and agreed scope:*??
 * FPA34-3379 / FPA00-25077??Filter Bar & Controls Panel Consolidation including reordering filters
 ** Currently, the story has multiple places for the user to consume different ?€?levels?€? of filters.
 The story filter bar contains story level filters, the page contains IC, and the charts themselves have a level of filters. Furthermore, the controls panel allows the user to see the filter state of the story or widget, but does not allow the user to interact with the filters, which causes frustration, as their expectation is to have ONE place to find and interact with all filters. (detailed scope see user story)
 * FPA00-28398??Include additional controls in consolidated filter panel
 ** The control panel today does not show all controls, hence calculation, cross calculation, measure and dimension input control that are applied to a selected widget to the new control panel. As the controls can be used by widgets across multiple pages, they need to keep their state
 * FPA34-210, FPA34-1866??& FPA34-4103 / FPA00-6508??Allow copying measure/dimension/calculation input controls in order to facility re-use",1,1
Story/Page Filter Member List for linked dimensions,FPA34-6361,8607135,User Story,Open,FPA34,Medium,I866445,,,11/9/2020 4:53,6/30/2022 9:49,9/29/2022 10:01,11/9/2020 4:53,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"copied from??FPA00-2229??

As a story creator, I can link dimensions used for filtering and blending.

If I create a filter input control (story level or page level), I should be able to chose whether the input control contains members on both datasets or not.

Options shall be
 * one dataset only
 * union of both datasets
 * left outer join
 * inner join

The options shall be presented to the end user in non-technical terms.

UX mockup:??[https://jam4.sapjam.com/groups/Chqb0ov8hSKNRl9Ojas7BH/documents/KK1XtsPT1fByNiWWNrV07R/slide_viewer]

*Additional discussion notes*:
 From meeting on Apr 28:
 * Scenario: 2 dimensions, one with values A, B, C, the other with values B, C, D. The 2 dimensions are now linked with the linked dimension dialog. Now when we create a filter on the dimension, then we may have values A, B, C, D if we are doing union join, B, C if we do inner join, and some other variations if we have left outer (depends on which dimension we use to build up the filter; need to follow the existing blending behavior). This is the view time.
 * What about the member selector/design time? Does it have to also show values from both dimension? Most likely we need to also display the linked dimension values in design time.
 * May need to wait for the filter refactoring to be done first before we can attempt doing this feature.

From FPA16 meeting on Apr 29:
 * May want to do the linking at the model layer, thus the list of values for any specific dimension can come straight from the model and there is not much client side processing/logic needed.
 * Should loop this requirement into the input control/filter refactoring as the current filter model isn't able to accommodate this feature at present.",1,1
[BW Live] Drilldown to Level for Measure Hierarchies,FPA34-6581,8944920,User Story,Open,FPA34,Medium,D052181,I837895,I837895,1/11/2021 22:00,6/30/2022 9:49,9/29/2022 10:01,,,,BW Integration,,,,,,,"In story, user wants to drill to particular measure level. Details can be found here:?? !https://wiki.wdf.sap.corp/wiki/plugins/servlet/confluence/placeholder/macro?definition=e2ppcmE6a2V5PUZQQTk3LTI0Nzd9&locale=en_US!",1,1
Not possible to change Version Descriptions,FPA34-6261,8490319,User Story,Considered,FPA34,Medium,I818705,D040546,D040546,10/19/2020 6:40,6/30/2022 9:34,9/29/2022 10:01,,,,Modeling ,"Planning (Allocations, VDT, etc.)",,,,,,It is not possible to change the descriptions of the members in the version dimension in a planning model.,1,1
[BW Live] Waterfall 2-Structures Support,FPA34-6523,8868871,User Story,Open,FPA34,Medium,I866445,D061599,D061599,12/21/2020 12:27,6/28/2022 21:28,9/29/2022 10:01,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"*As a customer I want to show my Two Structure Query in a chart. *

General Explaination: SAC customers with BW Live Connection having plenty queries based on Two Structure queries. The flexibility of a Two Structure query could only achieved with that feature.",1,1
Measure Ratio Comparison Threshold (Compare Measure A Value to Measure B),FPA34-6724,9251766,User Story,Open,FPA34,Medium,I866445,I856466,I856466,3/1/2021 17:30,6/27/2022 20:53,9/29/2022 10:01,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"*Problem*
Within SAC there is a logic to compare two Measures A & Measure B. However, customers expect that the current comparison threshold should be a direct ratio or variance depending on the circumstances. For example, they want to compare Measure A to Measure B and set the following conditions:
* If Measure A > Measure B, then color Measure A green
* If Measure A = Measure B, then color Measure B yellow
* If Measure A < Measure B, then color Measure A red

*Proposed Behavior*
We need to introduce an additional threshold option to provide users an option to have a ratio comparison between two measures. For example, color Measure A depending on its value in comparison to Measure B.

*Workaround*
The workaround focuses on create a calculation to determine whether or not Measure A is greater than Measure B. Based on the calculation, the customer would create a threshold on the calculated measure. They would then be able to consume the calculation and the threshold within the table. They have the ability to format the threshold and / or the table based on their preferences.",1,1
"Functional Filter Enhancements (wildcard filters, proper exclude, sorting member lists, single select for hier)",FPA34-6543,8892567,Epic,In Progress,FPA34,Medium,D053666,I866445,I866445,12/29/2020 17:40,6/23/2022 9:18,9/29/2022 10:01,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"This epic covers the functional input control enhancement that have identified as frustration points and missing capabilities for a larger number of customers. These gaps were defined as part of the adoption for the business analyst initiative as critical missing filter functionality.

??

Filter usability improvements are defined FPA34-6542 (scope 1) and FPA34-5258 (unsorted list of missing filtering capabilities)

Scope for this epic:
 * FPA34-1570 / FPA00-213 Wildcards to be used as filter values and explorer facet search
 * FPA34-4088 / FPA00-2688 Proper Exclude option when creating input controls
 * FPA34-2251 / FPA00-1968 Implement sorting in the list of filter values and also in the member selector filter value list
 * FPA34-1997 / FPA00-5106 Support for Single Select Hierarchical Input Control
 * FPA00-2981 [Filter Across Models] Enhance indirect filters to customize the linking context",1,1
[BW Live] Sorting Filter Dimension ,FPA34-6498,8847960,User Story,Considered,FPA34,Medium,D052181,I530478,I530478,12/17/2020 9:58,6/22/2022 10:28,9/29/2022 10:01,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",BW Integration,,,,,,"_Description:_

We are working with a BW Live Connection. When adding a Dimension Filter the list of values is sorted by Key / ID. It is not possible to apply a different sorting. The Query Setting is ignored, too. We suggest to enable at least one of these possibilities, best would be both (consider Query Setting and make it adjustable within SAC)

_What is the opportunity/problem the request_??_will address?_

This request addresses an improvement of Dimension Filters.

_What is the expected benefit?_

Navigation and Filtering will be simplified and User-friendly.",1,1
[Prompting] Clear/purge/delete prompt values/answers previously provided,FPA34-7093,10223079,Backlog Item,Open,FPA34,Medium,I866445,I049477,I049477,7/28/2021 14:46,6/22/2022 10:24,9/29/2022 10:01,,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",BW Integration,,,,,,"Today, when providing answers to mandatory prompts in BW (or even optional prompts) the last answers provided are retained and its not possible to 'clear/purge or delete' these values previously provided. This is expect behaviour.

However, this behaviour is problematic in a production environment that enjoys a good life-cycle management and when users are some how segregated.

The problem is that when the story is developed in 'development', the prompts answers are provided and of course remembered even when the story is transported to production. It means that when you open the story in production is shows the last prompt values provided, which are the ones entered in development. 

This is a problem. because the value used in development might be for say 'Belgium', but the story is being opened by a set of users from 'Croatia', it means the users in Croatia have to keep changing the default value. It makes it really annoying because the dynamic default values are also not respected.

This means, that the business problem could be resolved by this JIRA ER, or (on some occasions, but not all) by another JIRA where by the default dynamic values are respected (except for time based objects as per JIRA https://sapjira.wdf.sap.corp/browse/FPA34-2869), however its highly likely this JIRA will be needed in its entirety and especially when non-default dynamic variables are used.

There is a workaround, but its a little poor:

The workaround is to change the mandatory prompts to optional ones, then run the story removing all prompt values. Save the story. Then change the optional prompts back to mandatory. This workaround, apart from the obvious downsides, also has a number of limitations when queries are merged together. Its seems very problematic in such cases as two prompt screens are then shown. (its unclear if the two prompts screen issue is resolved once the prompts are set back to mandatory or not).

A bit more:
The feature was provided in SAP BusinessObjects BI Platform Web Intelligence and customers are expecting this to be present in SAC.

What is this request:
The request is to provide a means by which a story developer can clear/purge/delete prompt values/answers previously provided, even for mandatory prompts as much as optional prompts. The story developer should then be able to save the story with the previous prompt values having been removed.
",2,1
[Filter Across Models] Introduce active linked dimension for linked analysis across models,FPA34-6253,8479478,User Story,Open,FPA34,High,,,,10/15/2020 21:14,6/14/2022 22:04,9/29/2022 10:01,10/15/2020 21:14,,,"BI (Charts, Explorer, Geo, Input controls, etc.)",,,,,,,"Today we have 2 different performance guidances when it comes to filter across models. 
 ?€? If the dimensions users want to filter on can be linked, then link it so a Direct Filter Across Models can be used, then link as many dimensions as possible
 ?€? If the dimensions users want to filter on cannot be linked, then link as little dimensions as possible so the Indirect Filter is faster, then link as few dimensions as possible in order to reduce the complexity and size of the indirect filter

These guidances collide esp. as customer often have many filters on the shared dimensions, but also have to filter on a non-shared dimension. In blended charts/tables one can choose what the active linked dimensions are, which then means only a subset of the linked dimensions will be used for the blend. 
 !Current Blending Config option.png|thumbnail!

A similar option per input control would allow the story designer a lot of flexibility in order to improve the performance of the indirect filters/",1,1
[BW Live] Exclude Filter on Linked Dimensions,FPA34-7031,10040412,User Story,Open,FPA34,Medium,D052181,D053666,D053666,7/1/2021 9:50,6/14/2022 10:16,9/29/2022 10:01,,,,BW Integration,,,,,,,"Currently it is not supported to use the exclude filter option when using linked dimensions.

??

!image-2021-07-01-11-55-13-024.png!",1,1
Deprecate Classic Import Export ,FPA34-7147,10476297,Epic,Open,FPA34,Medium,I050337,I050337,I050337,9/8/2021 11:10,6/14/2022 9:53,9/29/2022 10:01,,,,Content Network,,,,,,,"Classic Export/Import to Tgz file needs to be deprecated for the following reasons.

SAC Planning to move to HANA Could in 2022 H1.
 * Classic Export/import Depends on Delivery Unit (DU). Hana Delivery unit is no more supported in Hana Cloud.

Messaging in the Product and documentation

Backlog Functional Gap needs to be filled by ACN.
 * Cross Hyperscale transport support. ( For example: Neo to CF, CF to Neo, EUDP to Non-EUDP, Restricted DC like Alibaba to any data center?? )
 * Customers use TGZ as backup, need to increase ACN Storage.

?€?Default 300 MB.- Need to increase to 2 GB. ( To be decided)

?€?Allow customers to purchase extra storage.??

?€?Storage Management.
 * Allow users to manage the space and versions",1,1
End to End tracing in OEM Embedded tenant workflows,FPA34-6602,8976895,User Story,Open,FPA34,Medium,I837895,I522076,I522076,1/15/2021 22:18,6/13/2022 6:26,9/29/2022 10:01,,,,,,,,,,,,1,1
Expand numeric format options and enable and allow configuration within styling panel,FPA34-7174,10553355,User Story,Considered,FPA34,Medium,I818705,I818705,I818705,9/21/2021 17:39,6/13/2022 6:26,9/29/2022 10:01,,,,"Planning (Allocations, VDT, etc.)",,,,,,,"Currently numeric formatting can only be changed centrally by the user themselves in their own profile.?? ??This presents two problems:

??

1) The existing formatting options are too limited

2) It's often the case that specific numeric formatting maybe require per table (in some cases even per cell)

??

See the attached screenshot for Palo Alto Networks who wishes to use a numeric field to store date information.?? At present we require a 1000's separator which can be configured only once in the user properties and can only take the value of decimal, comma or space.?? ??For this use-case neither of these is desired and we do not want a 1000's separator.?? We need to be able to define this within the table designer and/or within the modeller itself per account/measure.",1,1
Forecasting and Smart Grouping in Embed mode for OEM,FPA34-6552,8904032,User Story,Open,FPA34,Medium,I051666,I058617,I058617,1/4/2021 18:49,6/13/2022 6:26,9/29/2022 10:01,,,,Smart Assist,,,,,,,"Various LOBs specially S/4HANA have requested for TSF and Grouping feature for embedded analytics in LOB apps. This enablement will allow their end users to make use of predictive and augmented BI feature directly within embedded stories in LOB apps + will also provide SAP a competitive advantage.

??

Experiment was also done where the feature seem to work in SAC OEM version but have been disabled on purpose . Now as per new ranking process done in 2020 Q4, LOBs have requested this feature as No. 2 or 3 ask in their respective LOB app.",1,1
Predictive Planning : I want to create predictive forecasts on top of plannings models making use of flexible time dimension,FPA34-6605,8983239,User Story,In Progress,FPA34,Medium,I051666,I051666,I051666,1/18/2021 9:31,6/7/2022 16:15,9/29/2022 10:01,,,,Smart Predict / Predictive Planning ,,,,,,,"Please see the {color:#0747a6}*[^FPA34-6405 - One Pager.pptx]*{color} here.??

Also see a more recent document??[*Predictive Planning - Handling Flexible Time Dimension.docx*|https://sap-my.sharepoint.com/:w:/p/antoine_chabert/ETyKZGkYK7VEtWOASopfktoBKMQoRnJfI0SZ6eNHCQV_sA?e=QMbgKS]??- on September 2021 - after additional customer discussions.??

As a company, I want to plan using weekly time schedule. See here to understand the ask [high-level|https://sap-my.sharepoint.com/:p:/p/thomas_beck/ERRhevq5r8tKsBiQuosumvcBASun6ITe41njEiSnv_BjFQ?e=njVXH0].

As this same company, I want Predictive Planning to be able to deal with weeks / periods and forecast at the corresponding level.??

*Dole* - see attached - comment from [~I818705]??(January 2021) ""Dole is actually doing a 13 x 4, but not going to the weekly level (i.e. they have 13 equal periods) and would like to use *prediction* on that. ""

*Wolverine* (January 2021) -??Wolverine who is waiting for weekly time and quite interested in potential use of Smart Predict
 ?€?I think they would expect SAC to roll over to week/months and then predictive would be based on this?€? assuming Wolverine stores data at daily level

*Target* (January 2021) -??this capability is something that Target is going to be looking for (albeit not critical for their initial deployment)

*Milcobel* and *Callaway* are both PoCing Smart Predict in both cases the workaround they use is to create day-level planning models but to populate data on a per-week basis.??

*Pepsico* had some early interest but Predictive Planning is not part of the core project.??

*ASML* had indicated in 2020 that the non-support of week in planning models was a showstopper for predictive activities

Usage as of May 4th (for the last 12 months)?? - number of Smart Predict time series models trained
 * Milcobel 28 (PoC - frozen now)
 * Callaway Golf 28 (PoC - active now, led by partner NIMBL)??
 * PepsiCo 24 (early interest, nothing concrete)
 * Wolwerine 4 (recent usage)
 * Dole, Target, ASML 0 (plans but no recent, concrete explorations).??",2,1
